"unique_id","month","province","district","territory","ppl_killed","adults_kidnapped","infants_kidnapped"
248,"11-Feb","Orientale","Haut-Uele","Dungu",,1,1
249,"11-Feb","Orientale","Haut-Uele","Dungu",,,
250,"11-Feb","Orientale","Haut-Uele","Dungu",,,
251,"11-Feb","Orientale","Haut-Uele","Dungu",,6,
252,"11-Feb","Orientale","Haut-Uele","Dungu",3,,1
253,"11-Feb","Orientale","Haut-Uele","Dungu",,1,
254,"11-Feb","Orientale","Haut-Uele","Dungu",,,
255,"11-Feb","Orientale","Haut-Uele","Dungu",2,,
256,"11-Feb","Orientale","Haut-Uele","Dungu",,1,
257,"11-Feb","Orientale","Haut-Uele","Dungu",,,
258,"11-Feb","Orientale","Haut-Uele","Dungu",3,,
259,"11-Feb","Orientale","Haut-Uele","Dungu",,,
260,"11-Feb","Orientale","Haut-Uele","Dungu",,,
261,"11-Feb","Orientale","Haut-Uele","Niangara",1,1,
262,"11-Feb","Orientale","Haut-Uele","Faradje",,,5
263,"11-Feb","Orientale","Haut-Uele","Faradje",1,,13
264,"11-Feb","Orientale","Haut-Uele","Faradje",1,,
265,"11-Feb","Orientale","Haut-Uele","Faradje",1,,3
266,"11-Feb","Orientale","Haut-Uele","Faradje",,,
267,"11-Feb","Orientale","Bas-Uele","Ango",,14,
268,"11-Feb","Orientale","Bas-Uele","Ango",,,
269,"11-Feb","Orientale","Bas-Uele","Ango",2,,
270,"11-Feb","Orientale","Bas-Uele","Ango",,,2
271,"11-Feb","Orientale","Bas-Uele","Ango",,,3
272,"11-Jan","Orientale","Haut-Uele","Faradje",,,
273,"11-Mar","Orientale","Haut-Uele","Dungu",,,
274,"11-Mar","Orientale","Haut-Uele","Dungu",,,
275,"11-Mar","Orientale","Haut-Uele","Dungu",1,,
276,"11-Mar","Orientale","Haut-Uele","Dungu",2,,
277,"11-Mar","Orientale","Haut-Uele","Dungu",,,
278,"11-Mar","Orientale","Haut-Uele","Dungu",,,
279,"11-Mar","Orientale","Haut-Uele","Dungu",1,1,
280,"11-Mar","Orientale","Haut-Uele","Dungu",,,
281,"11-Mar","Orientale","Haut-Uele","Dungu",,1,
282,"11-Mar","Orientale","Haut-Uele","Dungu",,1,
283,"11-Mar","Orientale","Haut-Uele","Dungu",,2,1
284,"11-Mar","Orientale","Haut-Uele","Dungu",,,
285,"11-Mar","Orientale","Haut-Uele","Dungu",,2,1
286,"11-Mar","Orientale","Haut-Uele","Dungu",,4,
287,"11-Mar","Orientale","Haut-Uele","Dungu",,5,
288,"11-Mar","Orientale","Haut-Uele","Dungu",,10,
289,"11-Mar","Orientale","Haut-Uele","Dungu",,1,1
290,"11-Mar","Orientale","Haut-Uele","Dungu",,,
291,"11-Mar","Orientale","Haut-Uele","Dungu",,1,
292,"11-Mar","Orientale","Haut-Uele","Dungu",,,
