unique_id,province,territory,locality,place,axe,source,date_incident,month,month_text,type_incident,category,sub_category,num_missing,num_injured,num_deaths
558,Orientale,Mambasa,Epulu,Voie publique,Mambasa - Kisangani,Humanitaires,6/24/12,12-Jun,Jun-12,Agression armee,Detention physique,D_tention,1,0,0
559,Nord Kivu,Masisi,Ngungu,Voie publique,Ngungu - Rubaya,Solidarit_s,6/24/12,12-Jun,Jun-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
560,Sud Kivu,Uvira,Kachatou,Voie publique,Runingu-Marungu,CICR,6/25/12,12-Jun,Jun-12,Agression armee,S_curit_ des vehicules,Vol de v_hicule,0,0,0
561,Orientale,Irumu,Takpa,Voie publique,Kasenyi,GRAPEDECO,6/26/12,12-Jun,Jun-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
562,Nord Kivu,Rutshuru,Kahunga,Voie publique,Kiwanja - Rwindi,Caritas,6/29/12,12-Jun,Jun-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
563,Nord Kivu,Masisi,Shasha,Voie publique,Sake - Bweremana,Save the Children,7/2/12,12-Jul,Jul-12,Tracasseries,Perturbations,manifestations,0,0,0
564,Sud Kivu,Uvira,Nalugi,Voie publique,Runingu-Marungu,EBENEZER,7/2/12,12-Jul,Jul-12,Agression armee,Voie de fait  avec violence,Voie de fait,0,0,0
565,Nord Kivu,Masisi,Kitchanga,Domicile,Sake - Kitchanga,Save the Children,7/3/12,12-Jul,Jul-12,Cambriolage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
566,Nord Kivu,Rutshuru,Lusuli,Voie publique,Bambo - Kibirizi,HIB,7/5/12,12-Jul,Jul-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
567,Nord Kivu,Masisi,Kitchanga,Domicile,Kitchanga - Mweso,MSF H,7/16/12,12-Jul,Jul-12,Cambriolage,Introduction dans une maison par effraction,Sans violence physique,0,0,0
568,Nord Kivu,Walikale,kishanga,Voie publique,Walikal_- Kibua,IEDA,7/17/12,12-Jul,Jul-12,Agression armee,Autres incidents s_curitaires,Autres incidents s_curitaires,0,0,0
569,Nord Kivu,Walikale,Walikale,Bureau,Walikale Centre,OCHA,7/17/12,12-Jul,Jul-12,Agression armee,S_curit_ de bureaux,Introduction dans un bureau par effraction,0,0,0
570,Orientale,Irumu,Boga,Voie publique,Bunia - Boga,Humanitaire,7/18/12,12-Jul,Jul-12,Pillage,Vol de rue,,0,0,0
571,Nord Kivu,Rutshuru,Rutshuru,Voie publique,Goma-Rutshuru,CICR,7/20/12,12-Jul,Jul-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
572,Nord Kivu,Rutshuru,Rutshuru,Voie publique,Goma-Rutshuru,MSF F,7/21/12,12-Jul,Jul-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
573,Nord Kivu,Rutshuru,Rutshuru,Voie publique,Goma-Rutshuru,Heal Africa,7/22/12,12-Jul,Jul-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
574,Sud Kivu,Fizi,Lubondja,Voie publique,Kilembwe-Baraka,Tearfund,7/24/12,12-Jul,Jul-12,Agression armee,Voie de fait  avec violence,Voie de fait,0,0,0
575,Nord Kivu,Goma,Goma,Bureau,Goma ,UNDSS ,7/25/12,12-Jul,Jul-12,Tracasseries,Autres incidents securitaires,Autres incidents securitaires,0,0,0
576,Nord Kivu,Goma,Goma,Voie publique,Goma ,UNDSS ,7/29/12,12-Jul,Jul-12,Agression armee,Securite des vehicules,Vol de vehicule,0,0,0
577,Nord Kivu,Walikale,Kibati,Voie publique,Kishanga - Kashebere ,NRC ,7/30/12,12-Jul,Jul-12,Agression armee,Vol de rue,Sans violence physique,0,0,0
578,Nord Kivu,Lubero,Kasegbe,Voie publique,Kirumba - Hutwe ,OCHA,7/31/12,12-Jul,Jul-12,Agression armee,Autres incidents securitaires,Autres incidents securitaires,0,0,0
