"unique_id","month","month_text","province","district","territory","locality","ppl_killed","adults_kidnapped","infants_kidnapped"
217,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Anduala (15 km NE de Ngilima)",1,1,
218,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","A 50 km au NO de Kpanangbala (60 km NO de Doruma)",,,
219,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Gangu (90 km E de Dungu)",1,1,
220,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Nangbalama (10 km N de Doruma)",,,2
221,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Nangume (100 km E de Dungu)",,,
222,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Anduala (15 km NE de Ngilima)",1,1,
223,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Milagbe (12 km SE de Doruma)",,2,5
224,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Nangbalama (10 km N de Doruma)",,,
225,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Gangu (90 km E de Dungu)",,1,
226,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Ndorenzi (18 km NO de Duru)",,,
227,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Nabiapay (32 km NO de Duru)",,,
228,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Mbiangu (35 km SE de Bangadi)",1,,
229,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Nangbalama (10 km N de Doruma)",,,
230,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Naparka (60 km O de Doruma)",,,2
231,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","A 50 km au NO de Kpanangbala (60 km NO de Doruma)",,,
232,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Milagbe (12 km SE de Doruma)",3,,
233,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Gongolo (12 km NO de Ngilima)",,,
234,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Ngilima",,,
235,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Milagbe (12 km SE de Doruma)",,,
236,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Nangume (100 km E de Dungu)",1,,
237,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Nambili (22 km NO Ngilima)",3,1,
238,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Gangala (85 Km, Est Dungu)",2,,
239,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Gangala (85 Km, Est Dungu)",,,
240,"11-Jan","January-2011","Orientale","Haut-Uele","Dungu","Kaka1 (15 km NO Dungu),",,,
241,"11-Jan","January-2011","Orientale","Haut-Uele","Faradje","Udu (32 km O d Aba)",2,,5
242,"11-Jan","January-2011","Orientale","Haut-Uele","Faradje","Birichai (20 km O d Aba)",,,4
243,"11-Jan","January-2011","Orientale","Haut-Uele","Faradje","Ozowa (20 km O d Aba)",,,
244,"11-Jan","January-2011","Orientale","Haut-Uele","Faradje","Akampane (10 km SE de Faradje) ",,,
245,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Doruma (210 Km N Dungu),",,,
246,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Limai (25 Km N Dungu",,1,
